year,"last_name, first_name",pitcher_id,team_name,team_name_abbrev,pitch_hand,avg_speed,pitches_thrown,total_pitches,pitches_per_game,pitch_per,pitch_type,pitch_type_name,pitcher_break_z,league_break_z,diff_z,rise,pitcher_break_x,league_break_x,diff_x,tail,percent_rank_diff_z,percent_rank_diff_x
2024,"Harvey, Hunter",640451,Royals,KC,R,82.4,83,873,8.009174312,0.095074456,CU,Curveball,51.6,-49,2.7,5,6.9,9,-2.1,-23,0.613065327,0.256281407
2024,"Muller, Kyle",666205,Athletics,OAK,L,79.5,83,601,5.463636364,0.138103161,CU,Curveball,52.3,-53.7,-1.4,-3,3.3,7.1,-3.8,-53,0.281407035,0.120603015
2024,"Garrett, Braxton",666129,Marlins,MIA,L,90.7,83,588,5.444444444,0.141156463,FF,4-Seam Fastball,18.4,-17.1,-1.3,-7,6.5,-6.8,-0.3,-4,0.267676768,0.429292929
2024,"Lee, Dylan",669276,Braves,ATL,L,85.5,83,624,5.831775701,0.133012821,CH,Changeup,26.1,-30.4,-4.3,-14,12.4,-13.9,-1.5,-11,0.098765432,0.176954733
2024,"Scherzer, Max",453286,Rangers,TEX,R,74.8,82,596,5.467889908,0.137583893,CU,Curveball,57.9,-60.3,-2.4,-4,13.8,11.2,2.6,23,0.226130653,0.773869347
2024,"Ottavino, Adam",493603,Mets,NYM,R,87.9,82,716,6.62962963,0.11452514,FC,Cutter,29.5,-27.8,-1.7,-6,6,2.7,3.3,124,0.24375,0.9875
2024,"Ginkel, Kevin",656464,D-backs,AZ,R,94.5,82,782,7.174311927,0.104859335,SI,Sinker,20,-20.2,-0.2,-1,15.1,-14.1,0.9,7,0.537906137,0.646209386
2024,"Cole, Gerrit",543037,Yankees,NYY,R,88.4,82,623,5.663636364,0.131621188,SL,Slider,33.4,-32.6,0.8,2,5.7,3.9,1.7,44,0.598684211,0.717105263
2024,"Holmes, Grant",656550,Braves,ATL,R,87.1,82,378,3.53271028,0.216931217,SL,Slider,36.1,-34,2.1,6,1.5,4.4,-2.9,-66,0.75,0.167763158
2024,"Smith, Drew",622098,Mets,NYM,R,89,82,328,3.037037037,0.25,FC,Cutter,26.8,-26.7,-0.1,0,6.3,2.3,4,174,0.53125,1
2024,"Suarez, Robert",663158,Padres,SD,R,98.3,82,622,5.654545455,0.131832797,SI,Sinker,12.7,-18.7,-6,-32,13.2,-14.5,-1.3,-9,0.02166065,0.19133574
2024,"Ferguson, Caleb",657571,Yankees,NYY,L,80.9,82,591,5.372727273,0.138747885,SV,Slurve,51.3,-47.5,3.8,8,8.7,13.8,-5.2,-37,1,0
2024,"Garrett, Reed",657585,Mets,NYM,R,96.2,82,730,6.759259259,0.112328767,SI,Sinker,20.2,-22,-1.7,-8,16.2,-15.3,1,6,0.321299639,0.678700361
2024,"Scherzer, Max",453286,Rangers,TEX,R,82.8,82,596,5.467889908,0.137583893,CH,Changeup,39,-34.5,4.5,13,13.5,-13.5,0,0,0.913580247,0.399176955
2024,"Turnbull, Spencer",605513,Phillies,PHI,R,78.8,82,916,8.481481481,0.089519651,CU,Curveball,59,-54.2,4.9,9,14,9.2,4.7,51,0.834170854,0.909547739
2024,"Scott, Christian",681035,Mets,NYM,R,84.8,82,787,7.287037037,0.104193139,FS,Split-Finger,34.7,-34.4,0.3,1,13.7,-11.4,2.3,20,0.6,0.816666667
2024,"Chapman, Aroldis",547973,Pirates,PIT,L,91.3,82,776,7.185185185,0.105670103,FS,Split-Finger,29.5,-29.3,0.2,1,4,-8.1,-4.1,-51,0.583333333,0.083333333
2024,"Hernández, Jonathan",642546,Rangers,TEX,R,89.9,82,707,6.486238532,0.115983027,CH,Changeup,28.4,-29.9,-1.5,-5,18.5,-15,3.6,24,0.341563786,0.967078189
2024,"Lange, Alex",656638,Tigers,DET,R,96.3,81,377,3.458715596,0.214854111,SI,Sinker,19.2,-20.8,-1.6,-8,15.6,-14.9,0.7,4,0.335740072,0.57400722
2024,"Pérez, Martín",527048,Pirates,PIT,L,91.5,81,1388,12.85185185,0.058357349,FF,4-Seam Fastball,18.1,-16.3,-1.8,-11,11.4,-7.3,4.1,56,0.207070707,0.919191919
2024,"Musgrove, Joe",605397,Padres,SD,R,81.2,81,840,7.636363636,0.096428571,ST,Sweeper,46.1,-41.6,4.5,11,17,14.2,2.8,19,0.925,0.858333333
2024,"Contreras, Roansy",672710,Angels,LAA,R,82.9,80,723,6.694444444,0.110650069,ST,Sweeper,37.5,-38.7,-1.2,-3,10.9,13.7,-2.8,-21,0.308333333,0.091666667
2024,"Kopech, Michael",656629,Dodgers,LAD,R,86.6,79,795,7.293577982,0.099371069,SL,Slider,37,-34.5,2.4,7,6.3,4.7,1.6,34,0.769736842,0.707236842
2024,"Buttó, José",676130,Mets,NYM,R,82.7,79,879,8.138888889,0.089874858,ST,Sweeper,44.3,-38.8,5.5,14,12.8,14.5,-1.7,-11,0.95,0.208333333
2024,"Cabrera, Edward",665795,Marlins,MIA,R,88.5,79,809,7.490740741,0.097651422,SL,Slider,32.5,-32.4,0.1,0,2.1,4,-1.9,-48,0.486842105,0.276315789
2024,"Gasser, Robert",688107,Brewers,MIL,L,93.3,79,399,3.694444444,0.197994987,FF,4-Seam Fastball,18.3,-17.2,-1.1,-6,8.7,-9.6,-0.9,-9,0.300505051,0.353535354
2024,"Hjelle, Sean",663546,Giants,SF,R,92.5,79,745,6.772727273,0.106040268,FC,Cutter,22.6,-22.2,-0.4,-2,3.5,2.6,-6.2,-234,0.45,0
2024,"Kelly, Merrill",518876,D-backs,AZ,R,92.3,79,361,3.311926606,0.218836565,FF,4-Seam Fastball,17.4,-16.6,-0.8,-5,8.2,-8.2,0,0,0.348484848,0.472222222
2024,"Minter, A.J.",621345,Braves,ATL,L,86.8,79,422,3.943925234,0.187203791,CH,Changeup,30.7,-31.5,-0.8,-3,15.7,-14.4,1.3,9,0.436213992,0.687242798
