year,"last_name, first_name",player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,"Moran, Jovani",663558,L,CH,345,83.2,1692,16,0.82501111,0.869214728,142.328664,115.5602965,Changeup,87,75,135,26.76836752,26.76836752,-60,1,15,2,15,1,0,1:15,2:15,-1H 00M
,"López, Pablo",641154,R,CH,620,88.3,2067,17.9,0.867684247,0.86971254,231.7186601,255.4014277,Changeup,87,615,570,-23.68276759,23.68276759,45,10,15,9,30,0,45,10:15,9:30,+0H 45M
,"Kahnle, Tommy",592454,R,CH,500,88.8,1332,13.5,0.81460975,0.986882936,250.7901514,266.011053,Changeup,99,585,555,-15.2209016,15.2209016,30,9,45,9,15,0,30,9:45,9:15,+0H 30M
,"Greinke, Zack",425844,R,CH,356,86.5,1759,14.4,0.749858358,0.86064426,231.9126688,258.8311964,Changeup,86,615,555,-26.91852759,26.91852759,60,10,15,9,15,1,0,10:15,9:15,+1H 00M
,"Dunning, Dane",641540,R,CH,415,85.7,1776,18.1,0.919226846,0.983324802,246.4628094,258.7280368,Changeup,98,585,570,-12.26522737,12.26522737,15,9,45,9,30,0,15,9:45,9:30,+0H 15M
,"Bibee, Tanner",676440,R,CH,376,83.8,2046,18.6,0.879877041,0.969627382,217.236916,228.9996939,Changeup,97,645,615,-11.76277796,11.76277796,30,10,45,10,15,0,30,10:45,10:15,+0H 30M
,"Bello, Brayan",678394,R,CH,626,86.2,1771,17.4,0.872465952,0.99266563,253.1393397,265.3729415,Changeup,99,570,555,-12.23360181,12.23360181,15,9,30,9,15,0,15,9:30,9:15,+0H 15M
,"Wells, Tyler",669330,R,CH,348,85.4,2257,20.3,0.911686289,0.94253318,213.8685284,233.3354848,Changeup,94,645,615,-19.46695637,19.46695637,30,10,45,10,15,0,30,10:45,10:15,+0H 30M
,"Weaver, Luke",596133,R,CH,431,86.1,1719,15.8,0.819148111,0.764297762,216.4031809,242.9901678,Changeup,76,645,600,-26.58698691,26.58698691,45,10,45,10,0,0,45,10:45,10:00,+0H 45M
,"Snell, Blake",605483,L,CH,580,86.7,1794,16.7,0.839116097,0.984730479,134.6756539,125.934043,Changeup,98,90,105,8.741610905,8.741610905,-15,1,30,1,45,0,15,1:30,1:45,-0H 15M
